name,price_raw,price_numeric,currency,image_url,product_url,page_number,source,source_url
Slow States of Collapse: ...,Â£57.31,57.31,GBP,../media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Reasons to Stay Alive,Â£26.41,26.41,GBP,../media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Private Paris (Private #10),Â£47.61,47.61,GBP,../media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
#HigherSelfie: Wake Up Your ...,Â£23.11,23.11,GBP,../media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Without Borders (Wanderlove #1),Â£45.07,45.07,GBP,../media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
When We Collided,Â£31.77,31.77,GBP,../media/cache/08/04/08044269fc197645268a6197c57e6173.jpg,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
"We Love You, Charlie ...",Â£50.27,50.27,GBP,../media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Untitled Collection: Sabbath Poems ...,Â£14.27,14.27,GBP,../media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Unseen City: The Majesty ...,Â£44.18,44.18,GBP,../media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Unicorn Tracks,Â£18.78,18.78,GBP,../media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Unbound: How Eight Technologies ...,Â£25.52,25.52,GBP,../media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Tsubasa: WoRLD CHRoNiCLE 2 ...,Â£16.28,16.28,GBP,../media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Throwing Rocks at the ...,Â£31.12,31.12,GBP,../media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
This One Summer,Â£19.49,19.49,GBP,../media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
Thirst,Â£17.27,17.27,GBP,../media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,https://books.toscrape.com/catalogue/thirst_946/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Torch Is Passed: ...,Â£19.09,19.09,GBP,../media/cache/33/e5/33e507172541628acfd421503196b578.jpg,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Secret of Dreadwillow ...,Â£56.13,56.13,GBP,../media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Pioneer Woman Cooks: ...,Â£56.41,56.41,GBP,../media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Past Never Ends,Â£56.50,56.5,GBP,../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
The Natural History of ...,Â£45.22,45.22,GBP,../media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,3,books_to_scrape,https://books.toscrape.com/catalogue/page-1.html
